age,income,employment_length,utility_payment_score,social_media_score,psychometric_score,smartphone_usage_score,default
5,58938,11,0.0,0.0,1.0,0.5721257176083903,1
50,21522,9,0.0,0.0,1.0,0.0,0
28,34308,8,1.0,0.0,1.0,0.0,0
26,45447,11,0.0,0.0,1.0,1.0,1
0,34512,0,1.0,0.0,1.0,1.0,0
10,49880,0,1.0,0.0,0.5345909921902042,0.4472521554922508,0
30,55373,2,1.0,0.0,1.0,1.0,0
50,33743,11,0.15929682576234594,0.0,1.0,1.0,0
37,39883,16,0.3394914366630002,0.3602859598860686,1.0,0.5867973779847261,0
15,45346,0,0.7362249549177562,0.0,0.511686716110672,0.0,0
29,73520,0,1.0,0.0,0.0,0.0,0
10,54000,1,0.9485894228187881,0.0,1.0,0.7589443197586707,0
11,41183,0,0.3960673392797116,0.0,1.0,0.0,0
38,47930,3,1.0,0.0,1.0,0.4935160352028785,0
75,45567,9,1.0,0.0,1.0,0.0,0
64,59414,11,1.0,0.0,0.0,0.0,1
-15,70130,13,0.21761421217774024,0.0,0.0,0.8752900534165288,1
24,38285,0,1.0,0.0,0.9914945821707596,0.47255739938382246,0
5,38415,0,0.0,0.0,1.0,0.0,0
22,53907,0,0.8294900864736602,0.0,1.0,0.0,0
6,77154,0,1.0,0.0,1.0,0.622932269811964,0
10,50953,0,1.0,0.0,0.6466389790565985,1.0,0
57,42135,7,1.0,0.0,1.0,1.0,0
47,36175,11,1.0,0.0,1.0,0.0,0
29,44859,4,1.0,0.0,1.0,0.0,0
25,62790,15,0.0,0.0,0.0,1.0,1
51,21420,11,1.0,0.38890468495753594,0.0,0.0,1
73,57654,6,1.0,0.0,1.0,0.0,0
22,33026,2,1.0,0.0,0.3770431056265984,1.0,0
34,70945,12,0.0,0.0,1.0,1.0,1
44,68358,8,1.0,0.0,1.0,0.0,0
22,59811,0,0.9443731296173095,0.0,1.0,0.0,0
54,43986,9,1.0,0.0,1.0,0.0,0
69,30882,8,1.0,0.0,1.0,0.8491426059321912,0
-3,46370,6,0.0,0.0,0.0,0.0,1
43,48532,9,1.0,0.0,0.0,0.0,1
42,37415,12,0.0,0.0,0.0,0.23069731833443458,1
5,41363,0,0.0,0.0,1.0,1.0,0
94,42900,2,1.0,0.0,1.0,0.4437392912698055,0
-1,21624,0,0.0,0.0,0.10071085612747255,0.0,0
51,45804,5,1.0,1.0,0.0,0.0,1
24,54283,0,0.0,0.0,0.0,0.0,0
4,55782,0,0.6302299073273365,0.0,0.16060397114597835,0.6131740018915679,0
73,42448,7,1.0,0.0,1.0,0.0,0
9,35073,0,1.0,0.0,0.0,0.492239464464855,0
41,62393,10,0.0,0.0,1.0,0.9533975332379796,0
71,52517,6,1.0,0.0,1.0,0.0,0
44,25928,11,0.8769897256715823,0.0,1.0,0.0,0
32,68341,6,1.0,0.0,1.0,0.539401988209408,0
59,37813,9,0.7687312047266206,0.0,1.0,0.06225985632933222,0
6,59975,0,1.0,0.0,1.0,0.6696226323802841,0
66,52100,14,0.0,0.7979707668625603,0.0,0.0,1
12,48330,8,0.0,0.0,1.0,1.0,1
-40,15109,8,0.0,0.0,1.0,1.0,1
52,40750,10,0.5010667875331047,0.0,1.0,0.0,0
36,58390,8,1.0,0.4400431585876232,0.0,0.0,1
46,43735,9,0.0,0.0,0.741781707181337,0.44162864841891597,0
58,50928,12,0.9387799621615944,0.09166715132326453,1.0,0.7353411541977961,0
35,56390,9,1.0,0.0,1.0,0.7186526282557465,0
56,61584,11,1.0,0.004945938015957552,0.0,0.0,1
35,67979,2,1.0,0.0,0.0,1.0,0
0,40086,0,0.601984318463215,0.0,1.0,0.5772483723755298,0
27,48715,5,1.0,0.0,1.0,0.6517110765969125,0
10,31511,0,0.7663834746105713,0.0,0.0,0.4622624644542042,0
8,48192,0,0.0,0.0,1.0,0.46644580083980597,0
11,39628,0,0.5827468440269017,0.0,1.0,1.0,0
53,28458,6,1.0,0.0,1.0,1.0,0
21,32306,5,1.0,0.0,1.0,1.0,0
9,34481,0,0.0,0.0,1.0,0.0,0
57,46217,10,1.0,0.0,1.0,0.3982209514202937,0
45,-3082,10,0.40422569012624954,0.0,1.0,1.0,0
11,61975,9,0.0,0.0,1.0,0.0,1
23,50460,3,0.0,0.0,0.0,1.0,1
70,49874,17,1.0,1.0,1.0,0.0,0
58,51095,4,1.0,0.0,0.8842199248172707,0.0,0
31,77987,3,1.0,1.0,0.0,0.0,1
55,33415,6,1.0,1.0,0.0,0.6622033339461874,1
59,49627,13,1.0,0.0,1.0,0.2608231676775328,0
4,67393,0,1.0,0.0,1.0,0.0,0
26,51947,8,0.8007262923328197,0.0,0.8989245331035213,0.3131117685738916,0
84,33902,3,1.0,0.0,1.0,0.6596997699307984,0
60,69779,1,1.0,0.0,0.8193197794917,0.07486130625002908,0
16,77801,14,0.0,0.0,1.0,0.0,0
46,81281,11,0.0,0.0,0.0,0.8704491697413075,1
44,63724,10,0.9406641722749173,0.0,1.0,0.33653838187097995,0
6,56855,0,0.7975099072497795,0.0,1.0,0.4029445735036032,0
68,50084,20,0.0,0.0,0.0,0.0,1
49,32277,7,1.0,0.0,0.8742444295598251,1.0,0
0,44065,2,1.0,0.0,1.0,0.0,0
44,41309,12,1.0,1.0,0.0,0.0,1
18,63946,3,1.0,0.0,1.0,0.0,0
17,18060,2,1.0,0.0,1.0,0.0,0
29,41774,10,1.0,0.0,0.0,0.0,1
37,62063,11,0.3421381691860603,0.0,1.0,0.6426567318548759,0
55,54890,9,1.0,1.0,0.0,0.0,1
61,66287,9,1.0,0.0,1.0,0.0,0
66,36968,9,1.0,0.0,1.0,0.0,0
13,23023,1,1.0,0.0,1.0,0.0,0
46,47948,10,0.9783831680034849,0.0,1.0,0.0,0
20,24771,1,1.0,0.0,1.0,0.6170630447352031,0
51,57292,1,1.0,1.0,0.0,0.0,0
45,60003,9,1.0,0.0,1.0,0.588500786261195,0
50,33402,10,0.6671529754218719,0.0,0.505571134045019,0.0,0
35,43939,14,0.0,0.0,1.0,0.0,1
49,58232,4,1.0,0.0,0.11067927832101243,0.0,0
44,67541,9,0.0,0.0,0.5645543986764995,0.0,0
46,29233,8,0.8747160039730911,0.0,1.0,0.0767629503307216,0
-5,62547,10,0.0,0.0,0.0,0.0,1
68,33806,13,1.0,0.6769802432526411,1.0,0.6772085213501834,0
3,28797,0,1.0,0.0,1.0,0.0,0
14,50166,0,0.0,0.0,0.72732060927328,0.5011712644886682,0
6,47810,2,1.0,0.0,1.0,0.0,0
62,41694,9,1.0,0.0,1.0,0.0,0
58,18805,7,1.0,0.0,0.5007743704354002,0.6098290776634929,0
18,41128,6,0.0,0.0,1.0,0.0039612809245876,1
15,39345,6,0.0,0.0,1.0,0.0,1
